Category: All categories

Week,covid: (United States)
2017-01-15,0
2017-01-22,<1
2017-01-29,0
2017-02-05,<1
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,<1
2017-03-19,<1
2017-03-26,<1
2017-04-02,<1
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,<1
2017-07-09,0
2017-07-16,<1
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,<1
2017-08-20,0
2017-08-27,<1
2017-09-03,0
2017-09-10,0
2017-09-17,0
2017-09-24,<1
2017-10-01,0
2017-10-08,0
2017-10-15,<1
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,<1
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,<1
2018-04-01,0
2018-04-08,0
2018-04-15,0
2018-04-22,0
2018-04-29,0
2018-05-06,<1
2018-05-13,<1
2018-05-20,0
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,<1
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,<1
2018-07-29,0
2018-08-05,0
2018-08-12,<1
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,0
2018-09-16,0
2018-09-23,0
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,<1
2018-10-28,0
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,<1
2018-12-02,<1
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,0
2019-01-20,<1
2019-01-27,0
2019-02-03,<1
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,<1
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,<1
2019-05-12,<1
2019-05-19,0
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,<1
2019-07-21,<1
2019-07-28,<1
2019-08-04,0
2019-08-11,0
2019-08-18,<1
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,<1
2019-10-27,<1
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,<1
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,<1
2020-01-26,<1
2020-02-02,0
2020-02-09,<1
2020-02-16,<1
2020-02-23,2
2020-03-01,5
2020-03-08,24
2020-03-15,62
2020-03-22,73
2020-03-29,77
2020-04-05,66
2020-04-12,53
2020-04-19,51
2020-04-26,46
2020-05-03,44
2020-05-10,43
2020-05-17,42
2020-05-24,37
2020-05-31,31
2020-06-07,35
2020-06-14,41
2020-06-21,54
2020-06-28,63
2020-07-05,63
2020-07-12,70
2020-07-19,58
2020-07-26,56
2020-08-02,50
2020-08-09,46
2020-08-16,41
2020-08-23,37
2020-08-30,40
2020-09-06,35
2020-09-13,33
2020-09-20,35
2020-09-27,45
2020-10-04,47
2020-10-11,39
2020-10-18,42
2020-10-25,47
2020-11-01,38
2020-11-08,65
2020-11-15,81
2020-11-22,63
2020-11-29,64
2020-12-06,70
2020-12-13,72
2020-12-20,69
2020-12-27,71
2021-01-03,73
2021-01-10,79
2021-01-17,72
2021-01-24,68
2021-01-31,64
2021-02-07,61
2021-02-14,53
2021-02-21,59
2021-02-28,67
2021-03-07,74
2021-03-14,64
2021-03-21,66
2021-03-28,67
2021-04-04,64
2021-04-11,53
2021-04-18,46
2021-04-25,51
2021-05-02,41
2021-05-09,40
2021-05-16,35
2021-05-23,31
2021-05-30,28
2021-06-06,25
2021-06-13,25
2021-06-20,24
2021-06-27,23
2021-07-04,25
2021-07-11,30
2021-07-18,41
2021-07-25,52
2021-08-01,79
2021-08-08,72
2021-08-15,70
2021-08-22,72
2021-08-29,74
2021-09-05,57
2021-09-12,52
2021-09-19,46
2021-09-26,42
2021-10-03,33
2021-10-10,28
2021-10-17,26
2021-10-24,26
2021-10-31,30
2021-11-07,30
2021-11-14,31
2021-11-21,31
2021-11-28,38
2021-12-05,33
2021-12-12,43
2021-12-19,76
2021-12-26,98
2022-01-02,100
2022-01-09,78
